title,artist,peak_position,first_appearance,last_appearance,weeks_on_chart,position_across_time,Lyrics,Cleaned Lyrics,Gender,Category
xo (only if you say yes),enhypen,84,2024-07-26,2024-07-26,1,{'2024-07-26': 84},"[엔하이픈 ""XO (Only If You Say Yes)"" 가사]

[Intro]
X-O
X-O
Kiss me
Don't say no

[Chorus: Sunghoon, NI-KI]
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Don't say no, o-o-o-o-o
X-O, yeah

[Verse 1: Heeseung, Sunoo]
오직 너만 줄 수 있는 허락의 말
해도 달도 따다 줄 수 있어 말해
허락의 그 말
너의 X-O
나의 구원
Please babe, say yes

[Pre-Chorus: Jay, Jake, Heeseung, Jungwon]
황혼이 내릴 때
네 모든 꿈을 이루어줄게
Please say my name
나 너의 지니가 되어줄게
So just say, oh, babe
날 움직이는 단 하나 열쇠, yeah
나를 사용해
내 우주의 유일한 신 그대

[Chorus: NI-KI, Sunoo, Jay]
X-O
X-O
Kiss me
Don't say no
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Don't say no, o-o-o-o-o
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Just say, oh, oh-oh-oh-oh-oh
X-O, yeah

[Verse 2: Sunghoon, Jake, Heeseung]
Can I kiss you? Can I hug you?
너에게 감사해, yeah
Would you kiss me? Would you hug me?
허락을 구할게, yeah
One and (One and) only (Only)
나의 (나의) 여신 (여신)
For you (For you) I will

[Pre-Chorus: Jake, Sunoo, Jungwon, NI-KI, *Heeseung*, **Jay**]
So just say, oh, babe
저 달을 향해 날아가 볼래?
So just say, oh, babe
더 멋진 차와 집이 필요해?
*So just say, oh, babe
날 움직이는 단 하나 열쇠, yeah*
**나를 사용해
네 모든 꿈이 이루어지게, yeah, yеah, yeah**

[Chorus: Jungwon, Heeseung, Jake]
X-O
X-O
Kiss me
Don't say no
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, е-e-e-e-e
Don't say no, o-o-o-o-o
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Just say, oh, oh-oh-oh-oh-oh","X-O
X-O
Kiss me
Don't say no
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Don't say no, o-o-o-o-o
X-O, yeah
오직 너만 줄 수 있는 허락의 말
해도 달도 따다 줄 수 있어 말해
허락의 그 말
너의 X-O
나의 구원
Please babe, say yes
황혼이 내릴 때
네 모든 꿈을 이루어줄게
Please say my name
나 너의 지니가 되어줄게
So just say, oh, babe
날 움직이는 단 하나 열쇠, yeah
나를 사용해
내 우주의 유일한 신 그대
X-O
X-O
Kiss me
Don't say no
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Don't say no, o-o-o-o-o
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Just say, oh, oh-oh-oh-oh-oh
X-O, yeah
Can I kiss you? Can I hug you?
너에게 감사해, yeah
Would you kiss me? Would you hug me?
허락을 구할게, yeah
One and (One and) only (Only)
나의 (나의) 여신 (여신)
For you (For you) I will
So just say, oh, babe
저 달을 향해 날아가 볼래?
So just say, oh, babe
더 멋진 차와 집이 필요해?
*So just say, oh, babe
날 움직이는 단 하나 열쇠, yeah*
**나를 사용해
네 모든 꿈이 이루어지게, yeah, yеah, yeah**
X-O
X-O
Kiss me
Don't say no
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, е-e-e-e-e
Don't say no, o-o-o-o-o
X-O, O-O-O-O-O
X-O, O-O-O-O-O
Kiss me, e-e-e-e-e
Just say, oh, oh-oh-oh-oh-oh",M,G
sweet venom,enhypen,104,2023-12-01,2023-12-01,1,{'2023-12-01': 104},"[엔하이픈 ""Sweet Venom"" 가사]

[Intro: Sunghoon]
Yeah
Oh-oh

[Verse 1: Jay, Jake]
Hey, 내 안에 번져가는 something
감미롭게 나를 이끄네
달콤한 poison in my blood veins
날 구원해 주네, now I'm

[Pre-Chorus: Heeseung]
Dying in your arms
Feeling like on a cloud
혈관 속에 퍼져가는
Taste of your

[Chorus: NI-KI, Sunoo, Jungwon]
Sweet-ee-eet venom-nom-nom
Yeah, all I need-ee-eed is your poison (Is your poison)
데려가 새로운 세계로
So alive, 필멸을 내게로
Sweet-ee-eet, ee-ee-ee-eet (Sweet venom)

[Post-Chorus: Sunghoon, Jungwon]
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)

[Verse 2: Heeseung, Sunoo]
Woah, 차가운 손길로 널 찾고
입술은 여전히 널 불러
기꺼이 널 위해 날 바쳐, 날 바쳐
내 삶을 거둬줘, now I'm

[Pre-Chorus: Jay]
Dying in your arms (Ooh)
Feeling like on a cloud (Cloud)
혈관 속에 퍼져가는
Taste of your (혈관 속에 퍼져가)

[Chorus: Jungwon, Jake, NI-KI]
Sweet-ee-eet venom-nom-nom
Yeah, all I need-ee-eed is your poison (Is your poison)
데려가 새로운 세계로
So alive, 필멸을 내게로
Sweet-ee-eet, ee-ee-ee-eet (Sweet venom)

[Post-Chorus: NI-KI, Jungwon]
Sweet venom (Ooh)
Sweet venom (Oh)

[Bridge: Sunghoon, Heeseung]
영원 따윈 포기할게 right now
지금 내겐 오직 taste of your

[Chorus: NI-KI, Heeseung, Jay]
Sweet-ee-eet venom-nom-nom
Yeah, all I need-ee-eed is your poison (All I need is your poison)
데려가 새로운 세계로
So alive, 필멸을 내게로
Sweet-ee-eet, ee-ee-ee-eet (Sweet venom)

[Post-Chorus: Sunoo, Jay]
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)

[Outro: Jake]
Sweet-ee-ee-eet, ee-ee-ee-eet (Venom)","Yeah
Oh-oh
Hey, 내 안에 번져가는 something
감미롭게 나를 이끄네
달콤한 poison in my blood veins
날 구원해 주네, now I'm
Dying in your arms
Feeling like on a cloud
혈관 속에 퍼져가는
Taste of your
Sweet-ee-eet venom-nom-nom
Yeah, all I need-ee-eed is your poison (Is your poison)
데려가 새로운 세계로
So alive, 필멸을 내게로
Sweet-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)
Woah, 차가운 손길로 널 찾고
입술은 여전히 널 불러
기꺼이 널 위해 날 바쳐, 날 바쳐
내 삶을 거둬줘, now I'm
Dying in your arms (Ooh)
Feeling like on a cloud (Cloud)
혈관 속에 퍼져가는
Taste of your (혈관 속에 퍼져가)
Sweet-ee-eet venom-nom-nom
Yeah, all I need-ee-eed is your poison (Is your poison)
데려가 새로운 세계로
So alive, 필멸을 내게로
Sweet-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet venom (Ooh)
Sweet venom (Oh)
영원 따윈 포기할게 right now
지금 내겐 오직 taste of your
Sweet-ee-eet venom-nom-nom
Yeah, all I need-ee-eed is your poison (All I need is your poison)
데려가 새로운 세계로
So alive, 필멸을 내게로
Sweet-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet-ee-ee-eet, ee-ee-ee-eet (Sweet venom)
Sweet-ee-ee-eet, ee-ee-ee-eet (Venom)",M,G
bite me,enhypen,109,2023-06-02,2023-06-16,3,"{'2023-06-02': 140, '2023-06-09': 109, '2023-06-16': 164}","[엔하이픈 ""Bite Me"" 가사]

[Intro: Sunoo, Heeseung]
It's you and me in this world
내게로 다시 와, tie me
날 구원할 거라면
Just come kiss me and bite me (Oh, babe)

[Verse 1: Jungwon, Sunghoon, Jake, NI-KI]
혈관 속 memory
널 찾던 내 세포는 scream
이젠 알아, what I had to be
운명은 우릴 다시 발견했지
Got me bad, bad, bad, 나를 괴롭힌
뭔갈 찾아 헤매는 dreams
떠올랐어, when you next to me
잠시 잊혀진 나의 이름이

[Refrain: Jay, Sunoo]
(Oh, my, oh, my God)
This blood's pumpin' crazy
(Oh, my, oh, my God)
'Cause I know you'll save me

[Pre-Chorus: NI-KI, Sunghoon, Jay, Jake]
Come here and get some (Some)
남겨줘 on my neck
네 거란 증거 (거)
Just come over and bite me
Come here and get some (Some)
널 찬미할 sidekick
그게 내 숙명 (명)
Just come over and bite me

[Chorus: Jungwon, Heeseung]
It's you and me in this world
내게로 다시 와, tie me
날 구원할 거라면
Just come kiss me and bite me (Oh, babe)
It's you and me in this world
이 어둠 속에서 light me (Woo-ooh)
기회를 줄 거라면
Just come kiss me and bite me, yeah-eh-eh

[Verse 2: NI-KI, Sunghoon, Heeseung]
너에게 바칠게
너를 지킬 brave heart
과거에 버린 내
어리석은 오만
Come to me, make it right
다시 연결해 줘, 날
삼켜, 날
Yeah-eh

[Refrain: Sunoo, Jay]
(Oh, my, oh, my God)
This blood's pumpin' crazy
(Oh, my, oh, my God)
'Cause I know you'll save me

[Pre-Chorus: Sunghoon, NI-KI, Jay, Jungwon]
Come here and get some (Some)
남겨줘 on my neck
네 거란 증거 (거)
Just come over and bite me
Come here and get some (Some)
널 찬미할 sidekick
그게 내 숙명 (명)
Just come over and bite me

[Chorus: Jake, Heeseung]
It's you and me in this world
내게로 다시 와, tie me
날 구원할 거라면
Just come kiss me and bite me (Oh, babe)
It's you and me in this world
이 어둠 속에서 light me (Woo-ooh)
기회를 줄 거라면
Just come kiss me and bite me, yeah-eh-eh","It's you and me in this world
내게로 다시 와, tie me
날 구원할 거라면
Just come kiss me and bite me (Oh, babe)
혈관 속 memory
널 찾던 내 세포는 scream
이젠 알아, what I had to be
운명은 우릴 다시 발견했지
Got me bad, bad, bad, 나를 괴롭힌
뭔갈 찾아 헤매는 dreams
떠올랐어, when you next to me
잠시 잊혀진 나의 이름이
(Oh, my, oh, my God)
This blood's pumpin' crazy
(Oh, my, oh, my God)
'Cause I know you'll save me
Come here and get some (Some)
남겨줘 on my neck
네 거란 증거 (거)
Just come over and bite me
Come here and get some (Some)
널 찬미할 sidekick
그게 내 숙명 (명)
Just come over and bite me
It's you and me in this world
내게로 다시 와, tie me
날 구원할 거라면
Just come kiss me and bite me (Oh, babe)
It's you and me in this world
이 어둠 속에서 light me (Woo-ooh)
기회를 줄 거라면
Just come kiss me and bite me, yeah-eh-eh
너에게 바칠게
너를 지킬 brave heart
과거에 버린 내
어리석은 오만
Come to me, make it right
다시 연결해 줘, 날
삼켜, 날
Yeah-eh
(Oh, my, oh, my God)
This blood's pumpin' crazy
(Oh, my, oh, my God)
'Cause I know you'll save me
Come here and get some (Some)
남겨줘 on my neck
네 거란 증거 (거)
Just come over and bite me
Come here and get some (Some)
널 찬미할 sidekick
그게 내 숙명 (명)
Just come over and bite me
It's you and me in this world
내게로 다시 와, tie me
날 구원할 거라면
Just come kiss me and bite me (Oh, babe)
It's you and me in this world
이 어둠 속에서 light me (Woo-ooh)
기회를 줄 거라면
Just come kiss me and bite me, yeah-eh-eh",M,G
