title,artist,peak_position,first_appearance,last_appearance,weeks_on_chart,position_across_time,Lyrics,Cleaned Lyrics,Gender,Category
running wild,jin,5,2024-11-29,2025-01-10,6,"{'2024-11-29': 5, '2024-12-06': 33, '2024-12-13': 52, '2024-12-20': 97, '2024-12-27': 137, '2025-01-10': 172}","16 ContributorsTranslationsРусский中文EspañolItalianoRunning Wild Lyrics[Verse 1]
There's a way
There's a way that we can fly again
Remember how we used to love back then?
Livin' like we had no end
Let's stay out all night
Out all night until we see the sun
Remember how we used to long ago
We can miss the last train home?

[Pre-Chorus]
Don't you let our love go cold
When we're standing still
We can light it up once more
I'll take you there

[Chorus]
We'll be running wild
Lovin' 'til the sun is out
Running 'til there's nothin' left
'Til our last breath
We'll be running wild
Lovin' like it's made for us
Running 'til there’s nothin' left
'Til our last breath
We’ll be running wild


[Verse 2]
Don't forget
Don't forget about the times we shared
All the places that we used to go
Livin' like we've ruled the world

[Pre-Chorus]
Don't you let our love go cold
When we're standing still
We can light it up once more
I'll take you there

[Chorus]
We'll be running wild
Lovin' 'til the sun is out
Running 'til there's nothin' left
'Til our last breath
We'll be running wild
Lovin' like it's made for us
Running 'til there’s nothin' left
'Til our last breath

[Post-Chorus]
We'll be running wild
We'll be running wild
We'll be running wild
We'll be running wild
We'll be running wild","Don't you let our love go cold
When we're standing still
We can light it up once more
I'll take you there
We'll be running wild
Lovin' 'til the sun is out
Running 'til there's nothin' left
'Til our last breath
We'll be running wild
Lovin' like it's made for us
Running 'til there’s nothin' left
'Til our last breath
We’ll be running wild
Don't forget
Don't forget about the times we shared
All the places that we used to go
Livin' like we've ruled the world
Don't you let our love go cold
When we're standing still
We can light it up once more
I'll take you there
We'll be running wild
Lovin' 'til the sun is out
Running 'til there's nothin' left
'Til our last breath
We'll be running wild
Lovin' like it's made for us
Running 'til there’s nothin' left
'Til our last breath
We'll be running wild
We'll be running wild
We'll be running wild
We'll be running wild
We'll be running wild",M,S
the astronaut,jin,10,2022-11-11,2022-12-02,4,"{'2022-11-11': 10, '2022-11-18': 101, '2022-11-25': 139, '2022-12-02': 183}","21 ContributorsTranslationsRomanizationEnglishEspañolहिन्दी日本語FrançaisMagyarThe Astronaut LyricsBTS‘ oldest member Jin turns a new leaf in his solo career with “The Astronaut” before completing his military service, which is mandatory in South Korea.

Lyrically, the song sees the Jin comparing his… Read More [진 ""The Astronaut"" 가사]

[Verse 1]
You and me
끝나지 않을 history
Oh, 나의 우주가 돼 준
우리의 이야기
목적지 없이 흘러가는 저 소행성처럼
나도 그저 떠내려가고 있었어
어둠 속에 찾은 나의 모든 dream
새롭게 시작될 story

[Chorus]
When I'm with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
I feel this way I've never felt

[Verse 2]
You and me
깨지지 않는 별처럼
너의 꿈이 되어
우주를 여행하는
어두운 길을 비춰주는 저 은하수처럼
너는 나를 향해 빛나고 있었어
어둠 속에 찾은 단 하나의 빛
너에게 향하는 나의 길


[Chorus]
When I'm with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
I feel this way I never felt

[Bridge]
I feel this way I never felt
Oh-oh-oh-oh-oh-oh-oh

[Chorus]
When I'm with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
A life, a sparkle in your eyes
Heaven comin' through

[Outro]
And I love you
And I love you
Oh-oh-oh-oh-oh-oh-oh","You and me
끝나지 않을 history
Oh, 나의 우주가 돼 준
우리의 이야기
목적지 없이 흘러가는 저 소행성처럼
나도 그저 떠내려가고 있었어
어둠 속에 찾은 나의 모든 dream
새롭게 시작될 story
When I'm with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
I feel this way I've never felt
You and me
깨지지 않는 별처럼
너의 꿈이 되어
우주를 여행하는
어두운 길을 비춰주는 저 은하수처럼
너는 나를 향해 빛나고 있었어
어둠 속에 찾은 단 하나의 빛
너에게 향하는 나의 길
When I'm with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
I feel this way I never felt
I feel this way I never felt
Oh-oh-oh-oh-oh-oh-oh
When I'm with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
A life, a sparkle in your eyes
Heaven comin' through
And I love you
And I love you
Oh-oh-oh-oh-oh-oh-oh",M,S
yours,jin,90,2021-11-19,2021-11-19,1,{'2021-11-19': 90},"21 ContributorsTranslationsFrançaisEnglishRomanizationYours Lyrics“Yours,” a heart-touching ballad, works as one of the leading songs for the Korean tv drama, Jirisan (지리산), and is introduced in Episode 6.

The song marks the second release, after “죽어도 너야 (It’s Definitely… Read More [방탄소년단의 진 ""Yours"" 가사]

[Verse]
깊어진 하루 길어진 내 그림자
저 멀리 해는 저물고 있어
짙어 가는 어둠 속에서 헤매이고 있나 봐
이곳에 갇혀버린 걸까

[Pre-Chorus]
아직도 숨 쉬는 곳
그곳에 다가가야 해

[Chorus]
Every day you seem too far away
Every time you do, I tell myself
이곳에서 기다리고 있어
Every night I see you in my heart
Every time I do, I end up crying
어둠 속에 너를 불러주면

[Post-Chorus]
내게로 들려오는 건
깊은 내 숨결들

[Refrain]
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따


[Pre-Chorus]
시간이 멈춰버린 곳
이젠 다 되돌려야 해

[Chorus]
Every day you seem too far away
Every time you do, I tell myself
이곳에서 기다리고 있어
Every night I see you in my heart
Every time I do, I end up crying
어둠 속에 너를 불러주면

[Bridge]
일렁이는 태양이 숨 쉬는 곳
난 아직 이대로 멈춰

[Chorus]
Every day you seem too far away
Every time you do I tell myself
이곳에서 기다리고 있어
Every night I see you in my heart
Every time I do, I end up crying
어둠 속에 너를 불러주면

[Refrain]
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따","깊어진 하루 길어진 내 그림자
저 멀리 해는 저물고 있어
짙어 가는 어둠 속에서 헤매이고 있나 봐
이곳에 갇혀버린 걸까
아직도 숨 쉬는 곳
그곳에 다가가야 해
Every day you seem too far away
Every time you do, I tell myself
이곳에서 기다리고 있어
Every night I see you in my heart
Every time I do, I end up crying
어둠 속에 너를 불러주면
내게로 들려오는 건
깊은 내 숨결들
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따
시간이 멈춰버린 곳
이젠 다 되돌려야 해
Every day you seem too far away
Every time you do, I tell myself
이곳에서 기다리고 있어
Every night I see you in my heart
Every time I do, I end up crying
어둠 속에 너를 불러주면
일렁이는 태양이 숨 쉬는 곳
난 아직 이대로 멈춰
Every day you seem too far away
Every time you do I tell myself
이곳에서 기다리고 있어
Every night I see you in my heart
Every time I do, I end up crying
어둠 속에 너를 불러주면
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따
라따따따 라따따따 라따따따 따",M,S
heart on the window,jin,152,2024-11-29,2024-11-29,1,{'2024-11-29': 152},"6 ContributorsTranslationsEnglishRomanizationEspañolItalianoРусскийHeart on the Window Lyrics[진 ""Heart on the Window"" ft. 웬디 가사]

[Verse 1: Jin]
숱한 계절들을 넘어
소리 없이 입김이 번질 때
And I fall

[Pre-Chorus: Jin]
More every minute
More every hour
Oh, 꿈인 듯이
하얗게 서린 맘의 창 위에
짙게 새겨둔
You and me, ah

[Chorus: Jin & WENDY]
여전히 눈부신 창가에
네가 내 맘을 볼 수 있게
So, I'll leave you a heart on the window
널 기다린 시간 너머
새하얗게 번져가는 숨
빈틈없이 그려진 내 맘
When I left you a heart on the window
더 깊이 새겨두었어

[Verse 2: WENDY]
늘 깊이 어둡던 내 맘에
넌 문득 투명한 창을 내
빛으로 가득 채워


[Pre-Chorus: Jin & WENDY]
More every minute
More every hour
Oh, 꿈인 듯이
선명히 번져갈 계절 속에
새기고 싶은
You and me, ah

[Chorus: WENDY, Jin, WENDY & Jin]
여전히 눈부신 창가에 (Every day)
네가 내 맘을 볼 수 있게 (Oh)
So, I'll leave you a heart on the window
널 기다린 시간 너머
새하얗게 번져가는 숨 (Wo-oh)
빈틈없이 그려진 내 맘
When I left you a heart on the window
더 깊이 새겨두었어

[Bridge: Jin & WENDY]
Oh, I'll love you better
Oh, I'll love you better
약속해 내 맘을 새겨
Oh, I'll love you better than
Oh, I'll love you better
Oh, I'll love you better
With my heart on the window
(Ah-oh-oh-oh-ah, oh-oh-oh-ah, ah-ah-ah)


[Chorus: Jin & WENDY]
전히 눈부신 창가에
네가 내 맘을 볼 수 있게
So, I'll leave you a heart on the window
널 기다린 시간 너머
새하얗게 번져가는 숨
빈틈없이 그려진 내 맘
When I left you a heart on the window
더 깊이 새겨두었어
(Ah-oh-oh-oh-ah, oh-oh-oh-ah, ah-ah-ah)","숱한 계절들을 넘어
소리 없이 입김이 번질 때
And I fall
More every minute
More every hour
Oh, 꿈인 듯이
하얗게 서린 맘의 창 위에
짙게 새겨둔
You and me, ah
여전히 눈부신 창가에
네가 내 맘을 볼 수 있게
So, I'll leave you a heart on the window
널 기다린 시간 너머
새하얗게 번져가는 숨
빈틈없이 그려진 내 맘
When I left you a heart on the window
더 깊이 새겨두었어
늘 깊이 어둡던 내 맘에
넌 문득 투명한 창을 내
빛으로 가득 채워
More every minute
More every hour
Oh, 꿈인 듯이
선명히 번져갈 계절 속에
새기고 싶은
You and me, ah
여전히 눈부신 창가에 (Every day)
네가 내 맘을 볼 수 있게 (Oh)
So, I'll leave you a heart on the window
널 기다린 시간 너머
새하얗게 번져가는 숨 (Wo-oh)
빈틈없이 그려진 내 맘
When I left you a heart on the window
더 깊이 새겨두었어
Oh, I'll love you better
Oh, I'll love you better
약속해 내 맘을 새겨
Oh, I'll love you better than
Oh, I'll love you better
Oh, I'll love you better
With my heart on the window
(Ah-oh-oh-oh-ah, oh-oh-oh-ah, ah-ah-ah)
전히 눈부신 창가에
네가 내 맘을 볼 수 있게
So, I'll leave you a heart on the window
널 기다린 시간 너머
새하얗게 번져가는 숨
빈틈없이 그려진 내 맘
When I left you a heart on the window
더 깊이 새겨두었어
(Ah-oh-oh-oh-ah, oh-oh-oh-ah, ah-ah-ah)",M,S
