title,artist,peak_position,first_appearance,last_appearance,weeks_on_chart,position_across_time,Lyrics,Cleaned Lyrics,Gender,Category
crazy,le sserafim,76,2024-09-13,2024-09-20,2,"{'2024-09-13': 76, '2024-09-20': 88}","[르세라핌 ""CRAZY"" 가사]

[Intro: Huh Yunjin]
Act like an angel and dress like crazy

[Refrain: Kim Chaewon]
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls

[Chorus: Kim Chaewon, Kazuha, Sakura]
Da, da-da-da
Da-da-da-da-da
Da-da-da, da
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da-da-da, da

[Verse 1: Kim Chaewon, Sakura, Huh Yunjin]
Yeah, 내 심장에 강림
넌 CPR같이
손대면 like Pikachu
백만 볼트 전기 it's pumping
I'm an Otaku bestie
미쳐 that candy's sassy
뉴런의 체계를 갱신
내 머릿속 감옥 탈옥했지

[Pre-Chorus: All, Hong Eunchae, Kazuha, Huh Yunjin]
Galileo
스스로 심판해 매일
뇌속에선
적당히 미치라 했지
Why can't you stop?
몰라 육하원칙 따윈 제길
난 그런 재질
내 답은 make me super crazy

[Interlude: Huh Yunjin]
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Act like an angel and dress like crazy

[Chorus: Sakura, Kazuha, Hong Eunchae]
Da, da-da-da
Da-da-da-da-da
Da-da-da, da
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da, da-da-da
Da-da, da-da, da

[Refrain: Kazuha, Huh Yunjin]
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls

[Verse 2: Hong Eunchae, Kazuha, Kim Chaewon]
Back in the days 미침에
미치지 못했던 me
더이상 내 끌림 앞에
거짓 증언은 않지
무슨 의미 또 무슨 가치
가능과 불가능 이젠 다 쉿
Yeah, me and my girls
우린 눈이 멀 것을 알아도 저 태양에 kiss, mwah

[Pre-Chorus: All, Sakura, Huh Yunjin, Kim Chaewon, *Kazuha*]
Galileo
스스로 심판해 매일
뇌속에선
적당히 미치라 했지
Why can't you stop?
몰라 육하원칙 따윈 제길
난 그런 재질
*내 답은 make me super crazy*

[Interlude: Kim Chaewon]
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Act like an angel and dress like crazy

[Chorus: Huh Yunjin, Kazuha, Hong Eunchae]
Da, da-da-da
Da-da-da-da-da
Da, da-da-da
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da, da-da-da
Da-da, da-da, da

[Refrain: Kazuha, Huh Yunjin]
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls","Act like an angel and dress like crazy
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls
Da, da-da-da
Da-da-da-da-da
Da-da-da, da
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da-da-da, da
Yeah, 내 심장에 강림
넌 CPR같이
손대면 like Pikachu
백만 볼트 전기 it's pumping
I'm an Otaku bestie
미쳐 that candy's sassy
뉴런의 체계를 갱신
내 머릿속 감옥 탈옥했지
Galileo
스스로 심판해 매일
뇌속에선
적당히 미치라 했지
Why can't you stop?
몰라 육하원칙 따윈 제길
난 그런 재질
내 답은 make me super crazy
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da-da-da, da
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da, da-da-da
Da-da, da-da, da
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls
Back in the days 미침에
미치지 못했던 me
더이상 내 끌림 앞에
거짓 증언은 않지
무슨 의미 또 무슨 가치
가능과 불가능 이젠 다 쉿
Yeah, me and my girls
우린 눈이 멀 것을 알아도 저 태양에 kiss, mwah
Galileo
스스로 심판해 매일
뇌속에선
적당히 미치라 했지
Why can't you stop?
몰라 육하원칙 따윈 제길
난 그런 재질
*내 답은 make me super crazy*
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da, da-da-da
Act like an angel and dress like crazy
Da, da-da-da
Da-da-da-da-da
Da, da-da-da
Da-da, da-da, da
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls
All the girls are girling, girling
All the girls are girling, girling
All the girls are girling, girling
All the girly girls",F,G
easy,le sserafim,99,2024-03-08,2024-03-08,1,{'2024-03-08': 99},"[르세라핌 ""EASY"" 가사]

[Chorus: Kim Chaewon, Kazuha, Huh Yunjin]
다친대도, 길을 걸어, kiss me
쉽지 않음 내가 쉽게 easy
Stage, 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet
Damn, I really make it look easy
Yeah, know that I make it look easy

[Verse 1: Hong Eunchae, Kim Chaewon, Huh Yunjin, Sakura]
Clap your hands, 너도 나와 같다면
Clap your hands now (Dream, dream, dream)
의구심 따윈 그냥 치워
그냥 말해 ""I'm the real one"" (Sheesh, sheesh)
조명 꺼진 뒤의 난 wander in the night
Don't know what is right
Don't know 'bout my rights
시기심, 의심, 불신, 이젠 friends of me, yeah
세상에게 난 반쪽짜리 seraphim, yeah

[Pre-Chorus: Kazuha, Sakura, Hong Eunchae]
Mm, mm-mm, mm
I've been tryin' so long to show you, show you, show you (Oh)
(I'm the one that you need)

[Chorus: Huh Yunjin, Kim Chaewon, Kazuha]
다친대도, 길을 걸어, kiss me
쉽지 않음 내가 쉽게 easy
Stage, 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet
Damn, I really make it look easy
Yeah, know that I make it look easy
Yeah, know that I make it look easy

[Verse 2: Kazuha, Sakura, Kim Chaewon, Huh Yunjin]
수면 위의 백조가 돼 whippin'
때론 풀려, 나의 다리 but I keep it
Get, set, go, come and see me, I'm the fearless, mm
나의 발걸음은 매 순간 history, 이건 my way
영웅처럼 걸어 even if I am not flawless
편하게만 왔다고?
날 몰라봤다면 you have to know

[Pre-Chorus: Hong Eunchae, Huh Yunjin & Hong Eunchae, Sakura]
Mm
I've been tryin' so long to show you, show you, show you
(I'm the one that you need)

[Chorus: Kazuha, Sakura, Hong Eunchae, Kim Chaewon, *Huh Yunjin*]
다친대도, 길을 걸어, kiss me (Kiss)
쉽지 않음 내가 쉽게 easy (쉽지 않음 내가 쉽게 easy)
Stage, 위엔 불이 튀어, 내 body (That's my body, that's my body)
Pull up and I rip it up like ballet (Yeah, yeah)
Damn, I really make it look easy (Damn, I really make it look easy)
*Yeah, know that I make it look easy*","다친대도, 길을 걸어, kiss me
쉽지 않음 내가 쉽게 easy
Stage, 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet
Damn, I really make it look easy
Yeah, know that I make it look easy
Clap your hands, 너도 나와 같다면
Clap your hands now (Dream, dream, dream)
의구심 따윈 그냥 치워
그냥 말해 ""I'm the real one"" (Sheesh, sheesh)
조명 꺼진 뒤의 난 wander in the night
Don't know what is right
Don't know 'bout my rights
시기심, 의심, 불신, 이젠 friends of me, yeah
세상에게 난 반쪽짜리 seraphim, yeah
Mm, mm-mm, mm
I've been tryin' so long to show you, show you, show you (Oh)
(I'm the one that you need)
다친대도, 길을 걸어, kiss me
쉽지 않음 내가 쉽게 easy
Stage, 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet
Damn, I really make it look easy
Yeah, know that I make it look easy
Yeah, know that I make it look easy
수면 위의 백조가 돼 whippin'
때론 풀려, 나의 다리 but I keep it
Get, set, go, come and see me, I'm the fearless, mm
나의 발걸음은 매 순간 history, 이건 my way
영웅처럼 걸어 even if I am not flawless
편하게만 왔다고?
날 몰라봤다면 you have to know
Mm
I've been tryin' so long to show you, show you, show you
(I'm the one that you need)
다친대도, 길을 걸어, kiss me (Kiss)
쉽지 않음 내가 쉽게 easy (쉽지 않음 내가 쉽게 easy)
Stage, 위엔 불이 튀어, 내 body (That's my body, that's my body)
Pull up and I rip it up like ballet (Yeah, yeah)
Damn, I really make it look easy (Damn, I really make it look easy)
*Yeah, know that I make it look easy*",F,G
